model_id,metric,source_name,source_url,source_type,measurement_date,retrieval_date,notes
gpt-5.5,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-5/providers,independent_evaluation,NA,2026-08-16,Raw value 89.5059851986358; xhigh reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact xhigh configuration identified; deprecated lifecycle label does not invalidate cutoff-date data; content hash 0890f1b0285bf64bafb867c74481ede962df8c9a34cbfb18bd08cb1ee435a15d.
gpt-5.5,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-5/providers,independent_evaluation,NA,2026-08-16,Raw value 54.0132479160085; xhigh reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact xhigh configuration identified; deprecated lifecycle label does not invalidate cutoff-date data; content hash 0890f1b0285bf64bafb867c74481ede962df8c9a34cbfb18bd08cb1ee435a15d.
glm-5.2,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/glm-5-2/providers,independent_evaluation,NA,2026-08-16,Raw value 0.71099214849994; max reasoning; Together AI deployment without quantization suffix; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: no first-party provider listed and deployment precision/quantization is undisclosed; content hash e47432f7fb5668e1206d6e6f98156b4cf19615f3e48140f0e8d66d4c73293843.
glm-5.2,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/glm-5-2/providers,independent_evaluation,NA,2026-08-16,Raw value 198.212198588419; max reasoning; Together AI deployment without quantization suffix; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: no first-party provider listed and deployment precision/quantization is undisclosed; content hash e47432f7fb5668e1206d6e6f98156b4cf19615f3e48140f0e8d66d4c73293843.
glm-5.2,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/glm-5-2/providers,independent_evaluation,NA,2026-08-16,Raw value 13.3237375688318; max reasoning; Together AI deployment without quantization suffix; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: no first-party provider listed and deployment precision/quantization is undisclosed; content hash e47432f7fb5668e1206d6e6f98156b4cf19615f3e48140f0e8d66d4c73293843.
gemini-3.1-pro-preview,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers,independent_evaluation,NA,2026-08-16,Raw value 32.465911525; AA default reasoning configuration; Google AI Studio first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy uses AI Studio and does not infer a named effort; content hash 9fd967cd9a906f0a246fcf4fcaf00d1233168bc68474c7e72ceb05093657669d.
gemini-3.1-pro-preview,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers,independent_evaluation,NA,2026-08-16,Raw value 115.818376130416; AA default reasoning configuration; Google AI Studio first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy uses AI Studio and does not infer a named effort; content hash 9fd967cd9a906f0a246fcf4fcaf00d1233168bc68474c7e72ceb05093657669d.
gemini-3.1-pro-preview,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers,independent_evaluation,NA,2026-08-16,Raw value 36.7830157420111; AA default reasoning configuration; Google AI Studio first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy uses AI Studio and does not infer a named effort; content hash 9fd967cd9a906f0a246fcf4fcaf00d1233168bc68474c7e72ceb05093657669d.
deepseek-v4-pro-0813,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/deepseek-v4-pro/providers,independent_evaluation,NA,2026-08-16,Raw value 1.77417042649998; Reasoning; Max Effort; DeepSeek first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate due benchmark coverage; efficiency configuration itself is exact and first-party; content hash 9cb0630bbb3a10187573316844026a35281a07d030d131507ce86953ca32808d.
deepseek-v4-pro-0813,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/deepseek-v4-pro/providers,independent_evaluation,NA,2026-08-16,Raw value 88.6891851493744; Reasoning; Max Effort; DeepSeek first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate due benchmark coverage; efficiency configuration itself is exact and first-party; content hash 9cb0630bbb3a10187573316844026a35281a07d030d131507ce86953ca32808d.
deepseek-v4-pro-0813,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/deepseek-v4-pro/providers,independent_evaluation,NA,2026-08-16,Raw value 29.9625002187896; Reasoning; Max Effort; DeepSeek first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate due benchmark coverage; efficiency configuration itself is exact and first-party; content hash 9cb0630bbb3a10187573316844026a35281a07d030d131507ce86953ca32808d.
qwen3.8-2.4t-a95b,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/qwen3-8-2-4t-a95b/providers,independent_evaluation,NA,2026-08-16,Raw value 2.70152753100001; AA default reasoning configuration; Alibaba Cloud first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy accepts unnamed AA reasoning configuration without inferring effort; content hash e0381848f7d9e4b39173d460a759e9948105ca0498cec0ba800ceb3e3bcf1ba9.
qwen3.8-2.4t-a95b,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/qwen3-8-2-4t-a95b/providers,independent_evaluation,NA,2026-08-16,Raw value 48.6884187265588; AA default reasoning configuration; Alibaba Cloud first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy accepts unnamed AA reasoning configuration without inferring effort; content hash e0381848f7d9e4b39173d460a759e9948105ca0498cec0ba800ceb3e3bcf1ba9.
qwen3.8-2.4t-a95b,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/qwen3-8-2-4t-a95b/providers,independent_evaluation,NA,2026-08-16,Raw value 54.0484405215484; AA default reasoning configuration; Alibaba Cloud first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Excluded candidate; frozen supplementary policy accepts unnamed AA reasoning configuration without inferring effort; content hash e0381848f7d9e4b39173d460a759e9948105ca0498cec0ba800ceb3e3bcf1ba9.
