scenario,perturbed_indicator,factor,model_id,score,rank,rank_change_vs_baseline
scicode_x1.1,scicode,1.1,claude-opus-4.8,0.3897355957,5,0
scicode_x1.2,scicode,1.2,claude-fable-5,0.7275816717,1,0
scicode_x1.2,scicode,1.2,kimi-k3,0.5957351513,2,0
scicode_x1.2,scicode,1.2,gpt-5.6-sol,0.5183578202,3,0
scicode_x1.2,scicode,1.2,gpt-5.5,0.4423757929,4,0
scicode_x1.2,scicode,1.2,claude-opus-4.8,0.3892720322,5,0
gdpval_aa_v2_x0.8,gdpval_aa_v2,0.8,claude-fable-5,0.7196120326,1,0
gdpval_aa_v2_x0.8,gdpval_aa_v2,0.8,kimi-k3,0.5891249632,2,0
gdpval_aa_v2_x0.8,gdpval_aa_v2,0.8,gpt-5.6-sol,0.5069201594,3,0
gdpval_aa_v2_x0.8,gdpval_aa_v2,0.8,gpt-5.5,0.4511887379,4,0
gdpval_aa_v2_x0.8,gdpval_aa_v2,0.8,claude-opus-4.8,0.3899204678,5,0
gdpval_aa_v2_x0.9,gdpval_aa_v2,0.9,claude-fable-5,0.7223740233,1,0
gdpval_aa_v2_x0.9,gdpval_aa_v2,0.9,kimi-k3,0.5911491068,2,0
gdpval_aa_v2_x0.9,gdpval_aa_v2,0.9,gpt-5.6-sol,0.5121654172,3,0
gdpval_aa_v2_x0.9,gdpval_aa_v2,0.9,gpt-5.5,0.4462517017,4,0
gdpval_aa_v2_x0.9,gdpval_aa_v2,0.9,claude-opus-4.8,0.3900370898,5,0
gdpval_aa_v2_x1.1,gdpval_aa_v2,1.1,claude-fable-5,0.7285267779,1,0
gdpval_aa_v2_x1.1,gdpval_aa_v2,1.1,kimi-k3,0.5957066679,2,0
gdpval_aa_v2_x1.1,gdpval_aa_v2,1.1,gpt-5.6-sol,0.5236879484,3,0
gdpval_aa_v2_x1.1,gdpval_aa_v2,1.1,gpt-5.5,0.4353968442,4,0
gdpval_aa_v2_x1.1,gdpval_aa_v2,1.1,claude-opus-4.8,0.3902992858,5,0
gdpval_aa_v2_x1.2,gdpval_aa_v2,1.2,claude-fable-5,0.7318632247,1,0
gdpval_aa_v2_x1.2,gdpval_aa_v2,1.2,kimi-k3,0.5982053338,2,0
gdpval_aa_v2_x1.2,gdpval_aa_v2,1.2,gpt-5.6-sol,0.5298499999,3,0
gdpval_aa_v2_x1.2,gdpval_aa_v2,1.2,gpt-5.5,0.4295873822,4,0
gdpval_aa_v2_x1.2,gdpval_aa_v2,1.2,claude-opus-4.8,0.3904427657,5,0
mmmu_pro_no_tools_x0.8,mmmu_pro_no_tools,0.8,claude-fable-5,0.7285614584,1,0
mmmu_pro_no_tools_x0.8,mmmu_pro_no_tools,0.8,kimi-k3,0.5924249195,2,0
mmmu_pro_no_tools_x0.8,mmmu_pro_no_tools,0.8,gpt-5.6-sol,0.5113663817,3,0
mmmu_pro_no_tools_x0.8,mmmu_pro_no_tools,0.8,gpt-5.5,0.4392614658,4,0
mmmu_pro_no_tools_x0.8,mmmu_pro_no_tools,0.8,claude-opus-4.8,0.3952825121,5,0
mmmu_pro_no_tools_x0.9,mmmu_pro_no_tools,0.9,claude-fable-5,0.7270294455,1,0
mmmu_pro_no_tools_x0.9,mmmu_pro_no_tools,0.9,kimi-k3,0.5928644803,2,0
mmmu_pro_no_tools_x0.9,mmmu_pro_no_tools,0.9,gpt-5.6-sol,0.5144339845,3,0
mmmu_pro_no_tools_x0.9,mmmu_pro_no_tools,0.9,gpt-5.5,0.4400742824,4,0
mmmu_pro_no_tools_x0.9,mmmu_pro_no_tools,0.9,claude-opus-4.8,0.3928349577,5,0
mmmu_pro_no_tools_x1.1,mmmu_pro_no_tools,1.1,claude-fable-5,0.7235480207,1,0
mmmu_pro_no_tools_x1.1,mmmu_pro_no_tools,1.1,kimi-k3,0.5938756219,2,0
mmmu_pro_no_tools_x1.1,mmmu_pro_no_tools,1.1,gpt-5.6-sol,0.5213635492,3,0
mmmu_pro_no_tools_x1.1,mmmu_pro_no_tools,1.1,gpt-5.5,0.4419422454,4,0
mmmu_pro_no_tools_x1.1,mmmu_pro_no_tools,1.1,claude-opus-4.8,0.3872867242,5,0
mmmu_pro_no_tools_x1.2,mmmu_pro_no_tools,1.2,claude-fable-5,0.7216204022,1,0
mmmu_pro_no_tools_x1.2,mmmu_pro_no_tools,1.2,kimi-k3,0.5944428000,2,0
mmmu_pro_no_tools_x1.2,mmmu_pro_no_tools,1.2,gpt-5.6-sol,0.5251771898,3,0
mmmu_pro_no_tools_x1.2,mmmu_pro_no_tools,1.2,gpt-5.5,0.4429889773,4,0
mmmu_pro_no_tools_x1.2,mmmu_pro_no_tools,1.2,claude-opus-4.8,0.3842223404,5,0
omnidocbench_x0.8,omnidocbench,0.8,claude-fable-5,0.7239484218,1,0
omnidocbench_x0.8,omnidocbench,0.8,kimi-k3,0.5778974485,2,0
omnidocbench_x0.8,omnidocbench,0.8,gpt-5.6-sol,0.5408879405,3,0
omnidocbench_x0.8,omnidocbench,0.8,gpt-5.5,0.4303319099,4,0
omnidocbench_x0.8,omnidocbench,0.8,claude-opus-4.8,0.3898711573,5,0
omnidocbench_x0.9,omnidocbench,0.9,claude-fable-5,0.7246290203,1,0
omnidocbench_x0.9,omnidocbench,0.9,kimi-k3,0.5854605724,2,0
omnidocbench_x0.9,omnidocbench,0.9,gpt-5.6-sol,0.5294533596,3,0
omnidocbench_x0.9,omnidocbench,0.9,gpt-5.5,0.4354977865,4,0
omnidocbench_x0.9,omnidocbench,0.9,claude-opus-4.8,0.3900127469,5,0
omnidocbench_x1.1,omnidocbench,1.1,claude-fable-5,0.7261169327,1,0
omnidocbench_x1.1,omnidocbench,1.1,kimi-k3,0.6014574109,2,0
omnidocbench_x1.1,omnidocbench,1.1,gpt-5.6-sol,0.5060038113,3,0
omnidocbench_x1.1,omnidocbench,1.1,gpt-5.5,0.4466796846,4,0
omnidocbench_x1.1,omnidocbench,1.1,claude-opus-4.8,0.3903222483,5,0
omnidocbench_x1.2,omnidocbench,1.2,claude-fable-5,0.7269073615,1,0
omnidocbench_x1.2,omnidocbench,1.2,kimi-k3,0.6096954727,2,0
omnidocbench_x1.2,omnidocbench,1.2,gpt-5.6-sol,0.4942630549,3,0
omnidocbench_x1.2,omnidocbench,1.2,gpt-5.5,0.4525673367,4,0
omnidocbench_x1.2,omnidocbench,1.2,claude-opus-4.8,0.3904866370,5,0
charxiv_rq_no_tools_x0.8,charxiv_rq_no_tools,0.8,claude-fable-5,0.7231344355,1,0
charxiv_rq_no_tools_x0.8,charxiv_rq_no_tools,0.8,kimi-k3,0.5942240911,2,0
charxiv_rq_no_tools_x0.8,charxiv_rq_no_tools,0.8,gpt-5.6-sol,0.5180639496,3,0
charxiv_rq_no_tools_x0.8,charxiv_rq_no_tools,0.8,gpt-5.5,0.4410915653,4,0
charxiv_rq_no_tools_x0.8,charxiv_rq_no_tools,0.8,claude-opus-4.8,0.3938197623,5,0
charxiv_rq_no_tools_x0.9,charxiv_rq_no_tools,0.9,claude-fable-5,0.7241904391,1,0
charxiv_rq_no_tools_x0.9,charxiv_rq_no_tools,0.9,kimi-k3,0.5938083422,2,0
charxiv_rq_no_tools_x0.9,charxiv_rq_no_tools,0.9,gpt-5.6-sol,0.5179265072,3,0
charxiv_rq_no_tools_x0.9,charxiv_rq_no_tools,0.9,gpt-5.5,0.4410335004,4,0
charxiv_rq_no_tools_x0.9,charxiv_rq_no_tools,0.9,claude-opus-4.8,0.3920777966,5,0
charxiv_rq_no_tools_x1.1,charxiv_rq_no_tools,1.1,claude-fable-5,0.7266224517,1,0
charxiv_rq_no_tools_x1.1,charxiv_rq_no_tools,1.1,kimi-k3,0.5928469266,2,0
charxiv_rq_no_tools_x1.1,charxiv_rq_no_tools,1.1,gpt-5.6-sol,0.5176080502,3,0
charxiv_rq_no_tools_x1.1,charxiv_rq_no_tools,1.1,gpt-5.5,0.4408989798,4,0
charxiv_rq_no_tools_x1.1,charxiv_rq_no_tools,1.1,claude-opus-4.8,0.3880871612,5,0
charxiv_rq_no_tools_x1.2,charxiv_rq_no_tools,1.2,claude-fable-5,0.7279885131,1,0
charxiv_rq_no_tools_x1.2,charxiv_rq_no_tools,1.2,kimi-k3,0.5923045375,2,0
charxiv_rq_no_tools_x1.2,charxiv_rq_no_tools,1.2,gpt-5.6-sol,0.5174280079,3,0
charxiv_rq_no_tools_x1.2,charxiv_rq_no_tools,1.2,gpt-5.5,0.4408229382,4,0
charxiv_rq_no_tools_x1.2,charxiv_rq_no_tools,1.2,claude-opus-4.8,0.3858582469,5,0
mathvision_no_tools_x0.8,mathvision_no_tools,0.8,claude-fable-5,0.7236872509,1,0
mathvision_no_tools_x0.8,mathvision_no_tools,0.8,kimi-k3,0.5909186203,2,0
mathvision_no_tools_x0.8,mathvision_no_tools,0.8,gpt-5.6-sol,0.5129105439,3,0
mathvision_no_tools_x0.8,mathvision_no_tools,0.8,gpt-5.5,0.4391802330,4,0
mathvision_no_tools_x0.8,mathvision_no_tools,0.8,claude-opus-4.8,0.3940511417,5,0
mathvision_no_tools_x0.9,mathvision_no_tools,0.9,claude-fable-5,0.7244797399,1,0
mathvision_no_tools_x0.9,mathvision_no_tools,0.9,kimi-k3,0.5920739352,2,0
mathvision_no_tools_x0.9,mathvision_no_tools,0.9,gpt-5.6-sol,0.5152313411,3,0
mathvision_no_tools_x0.9,mathvision_no_tools,0.9,gpt-5.5,0.4400304165,4,0
mathvision_no_tools_x0.9,mathvision_no_tools,0.9,claude-opus-4.8,0.3921978932,5,0
mathvision_no_tools_x1.1,mathvision_no_tools,1.1,claude-fable-5,0.7263088997,1,0
mathvision_no_tools_x1.1,mathvision_no_tools,1.1,kimi-k3,0.5947380873,2,0
mathvision_no_tools_x1.1,mathvision_no_tools,1.1,gpt-5.6-sol,0.5205251009,3,0
mathvision_no_tools_x1.1,mathvision_no_tools,1.1,gpt-5.5,0.4419931920,4,0
mathvision_no_tools_x1.1,mathvision_no_tools,1.1,claude-opus-4.8,0.3879594222,5,0
mathvision_no_tools_x1.2,mathvision_no_tools,1.2,claude-fable-5,0.7273387592,1,0
mathvision_no_tools_x1.2,mathvision_no_tools,1.2,kimi-k3,0.5962366062,2,0
mathvision_no_tools_x1.2,mathvision_no_tools,1.2,gpt-5.6-sol,0.5234684415,3,0
mathvision_no_tools_x1.2,mathvision_no_tools,1.2,gpt-5.5,0.4430985388,4,0
mathvision_no_tools_x1.2,mathvision_no_tools,1.2,claude-opus-4.8,0.3855963090,5,0
